date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,dust,us_aqi,european_aqi,Condition,Rain,MaxTemp,MinTemp,SunRise,SunSet,MoonRise,MoonSet,AvgWind,AvgHumidity,AvgPressure,unhealthy_air
2016-04-16,53.90833333333333,46.70416666666667,401.0416666666667,76.19583333333334,10.816666666666668,27.541666666666668,0.5,129.29166666666666,77.75,Partly cloudy,0.5,17,11,06:23:00,19:46:00,14:26:00,3:29:00,16,66,1014,1
2016-04-17,45.18333333333334,36.84583333333333,281.625,78.65416666666667,11.716666666666669,22.291666666666668,0.5,113.875,72.79166666666667,Patchy rain possible,0.5,16,11,06:21:00,19:47:00,15:25:00,4:3:00,17,70,1015,1
2016-04-18,53.575,41.5625,295.125,85.46249999999999,13.158333333333331,19.791666666666668,0.5,104.5,69.83333333333333,Partly cloudy,1.84,15,10,06:20:00,19:48:00,16:21:00,4:34:00,19,72,1013,1
2016-04-19,64.40416666666667,50.85416666666666,346.5416666666667,70.02083333333333,8.491666666666667,22.58333333333333,0.5,126.79166666666669,76.91666666666667,Patchy rain possible,0.3,16,10,06:18:00,19:49:00,17:18:00,5:4:00,16,72,1014,1
2016-04-20,35.68333333333333,27.766666666666666,223.70833333333331,27.925,4.5,50.875,0.5,123.58333333333331,75.91666666666667,Partly cloudy,1.51,17,11,06:17:00,19:50:00,18:14:00,5:33:00,16,71,1013,1
2016-04-21,15.325,12.079166666666666,206.29166666666663,51.5625,7.758333333333333,36.0,0.5,57.875,34.875,Sunny,0.28,16,11,06:15:00,19:51:00,19:11:00,6:2:00,19,56,1026,0
2016-04-22,34.62916666666667,28.604166666666668,291.25,75.2625,11.475,23.666666666666668,0.5,63.583333333333336,40.458333333333336,Sunny,0.0,18,10,06:14:00,19:52:00,20:6:00,6:32:00,10,49,1019,0
2016-04-23,51.9,45.44583333333333,333.9583333333333,67.0,11.666666666666666,29.08333333333333,0.5,111.125,71.875,Cloudy,0.0,19,12,06:13:00,19:53:00,21:2:00,7:4:00,7,51,1009,1
2016-04-24,37.61666666666667,29.366666666666664,239.5,35.3875,6.7125,43.958333333333336,0.5,113.58333333333331,72.70833333333333,Sunny,2.95,19,15,06:11:00,19:54:00,21:58:00,7:39:00,18,61,1000,1
2016-04-25,18.554166666666667,13.929166666666667,194.20833333333331,35.90833333333333,6.229166666666667,44.375,0.5,59.66666666666666,34.333333333333336,Sunny,6.28,19,14,06:10:00,19:55:00,22:52:00,8:17:00,19,71,1000,0
2016-04-26,16.145833333333332,12.608333333333334,212.33333333333331,36.17916666666667,5.258333333333334,33.416666666666664,0.5,55.25,29.375,Sunny,2.01,18,9,06:08:00,19:56:00,23:44:00,9:1:00,20,74,1004,0
2016-04-27,22.6,20.945833333333333,301.125,52.0375,10.170833333333333,29.916666666666668,0.5,57.458333333333336,31.291666666666668,Sunny,0.0,16,9,06:07:00,19:57:00,,9:48:00,8,66,1015,0
2016-04-28,44.025,37.85833333333333,353.4166666666667,67.675,7.5375,23.33333333333333,0.5,90.66666666666669,63.66666666666666,Sunny,0.0,18,11,06:06:00,19:58:00,12:33:00,10:41:00,7,62,1017,1
2016-04-29,38.05,31.933333333333334,335.4583333333333,42.91666666666666,7.066666666666666,38.25,0.5,100.79166666666669,68.54166666666667,Partly cloudy,0.0,18,12,06:04:00,19:59:00,1:19:00,11:38:00,13,57,1017,1
2016-04-30,18.566666666666663,15.470833333333331,212.45833333333331,26.204166666666666,4.479166666666667,54.41666666666666,0.5,72.58333333333333,48.625,Sunny,0.0,18,12,06:03:00,20:0:00,2:2:00,0:39:00,21,72,1017,0
2016-05-01,14.795833333333333,12.3125,186.16666666666663,28.975,4.616666666666666,55.79166666666666,0.5,53.41666666666666,27.25,Sunny,0.02,16,11,06:02:00,20:1:00,2:42:00,13:45:00,25,78,1017,0
2016-05-02,26.1125,22.675,241.5,42.73333333333333,5.004166666666666,36.0,0.5,59.04166666666666,33.0,Sunny,0.01,17,12,06:01:00,20:2:00,3:20:00,14:52:00,16,79,1011,0
2016-05-03,33.86666666666667,27.254166666666663,247.54166666666663,40.95,5.345833333333334,44.54166666666666,0.5,81.25,60.5,Sunny,1.06,20,13,05:59:00,20:3:00,3:57:00,16:3:00,13,71,1005,1
2016-05-04,17.579166666666666,13.816666666666668,221.04166666666663,35.34166666666667,5.5625,50.04166666666666,0.5,66.0,41.875,Partly cloudy,1.41,16,12,05:58:00,20:4:00,4:33:00,17:15:00,15,74,1005,0
2016-05-05,22.9375,20.266666666666666,284.1666666666667,37.0125,5.9750000000000005,53.083333333333336,0.5,61.208333333333336,34.5,Overcast,0.0,15,11,05:57:00,20:5:00,5:12:00,18:28:00,13,85,1009,0
2016-05-06,21.90416666666667,17.404166666666665,267.625,53.825,5.2250000000000005,29.291666666666668,0.5,64.83333333333333,37.958333333333336,Overcast,0.74,16,11,05:56:00,20:6:00,5:52:00,19:43:00,14,82,1013,0
2016-05-07,37.63333333333333,31.52083333333333,328.75,61.208333333333336,6.670833333333333,31.33333333333333,0.5,78.25,53.958333333333336,Sunny,0.01,17,10,05:55:00,20:7:00,6:36:00,20:54:00,8,77,1015,1
2016-05-08,33.46666666666667,28.8625,302.5416666666667,38.2625,4.708333333333333,45.875,0.5,86.83333333333333,63.41666666666666,Sunny,0.0,19,12,05:54:00,20:8:00,7:25:00,22:3:00,9,71,1017,1
